Пол;Physical Aggression;Anger;Hostility;Всесилие;Неуязвимость;Уникальность;ГЧС;ПФ;ВСУ;ППВВ;ООО;ММО;ОЭ;СЧЗ;ДЗП;ОШКМ;ШЭС;ШЭМ;ШПС;ШКМ;ШНО;ШЛСМ;ШВ;ШСЖ;ШЛ;Директивный стиль;Аналитический стиль;Концептуальный стиль;Поведенческий стиль;Безопасность;Конформизм;Традиция;Самостьятельность;Риск-новизна;Гедонизм;Достижение;Власть-Богатство;Благожелательность;Универсализм;Неув.в прич.;Новизна;Сложность;Нерешенность;Общий ;Политика;Личный опыт;Воспитание;Спорт;СМИ;Общий;E';E;e;I';I;i;M';M;m;E||;I||;i||;OD;ED;NP;сложные;GCR;F1 (ОПС);F2 (ОПС);F1 (ША);F2 (ША)
2;3;3;1;3;3;2;3;2;2;3;2;2;2;1;2;2;2;2;3;2;3;2;3;1;1;3;2;2;3;1;2;2;3;2;1;1;2;1;2;3;2;1;2;1;2;2;2;3;2;2;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;2;2;1;1
2;3;2;2;3;3;3;2;2;2;1;3;2;3;2;3;2;3;3;3;3;3;2;3;1;2;3;3;3;3;2;3;2;1;1;1;2;2;1;2;3;2;2;3;2;3;2;3;2;2;3;2;2;2;1;2;2;1;1;1;2;2;1;2;2;2;1;3;1;2;2;1
2;3;3;2;3;2;2;2;1;2;2;2;2;3;3;1;1;1;2;3;3;2;2;2;2;1;3;2;2;3;1;3;2;1;2;2;2;2;2;2;2;2;1;2;1;2;3;2;2;2;2;2;1;3;1;2;3;1;2;1;1;2;2;1;1;3;2;3;2;3;1;1
2;1;2;2;2;1;2;1;1;2;1;2;2;3;3;1;2;2;2;3;3;3;3;3;1;2;3;3;3;3;3;2;2;2;3;3;3;3;2;2;1;2;1;3;2;1;1;1;3;3;1;2;1;2;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;3;2;2
2;2;2;1;2;3;2;2;2;3;2;3;3;2;2;3;2;2;2;2;2;3;2;3;2;2;3;3;3;3;2;3;3;2;2;3;2;2;2;2;2;2;1;3;1;2;1;1;2;2;1;3;1;2;1;3;2;1;2;1;2;2;1;2;2;2;1;2;2;1;2;2
2;2;2;1;2;2;2;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;3;3;2;2;3;2;2;2;2;2;2;1;2;1;2;3;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;2;1;2;2;1;2;3;2;2;2;1;2;2;1;1;2;3;2;1
2;3;3;3;2;2;2;2;2;2;2;2;3;2;2;2;1;2;2;3;3;3;3;2;1;2;3;2;3;3;1;2;2;2;2;2;2;2;2;1;1;3;1;2;2;2;2;3;3;1;2;2;1;2;1;3;2;2;1;1;2;2;2;2;2;2;2;2;3;3;2;1
2;2;1;2;3;2;2;2;1;2;2;2;1;2;1;1;3;3;1;1;1;1;1;1;3;1;3;2;2;3;2;3;3;1;1;1;3;3;3;1;1;1;1;2;1;2;2;2;3;1;2;3;1;1;1;2;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;1
1;1;1;1;3;3;2;1;2;2;2;1;1;1;1;1;3;3;1;3;1;3;1;3;3;2;1;1;1;1;3;3;3;1;1;1;1;3;2;1;3;2;1;2;1;1;1;1;1;1;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;1;2;1
2;2;2;3;3;3;2;3;2;2;2;3;3;3;2;3;2;2;1;3;3;3;3;3;1;3;3;2;3;3;1;2;3;2;1;2;1;1;2;2;2;2;1;2;1;2;3;2;3;3;2;2;1;1;1;1;3;1;2;1;2;2;1;2;1;2;1;2;2;2;3;2
1;3;1;1;3;2;1;2;2;2;1;2;2;3;2;3;3;3;1;3;3;3;2;2;1;3;3;2;3;3;3;2;3;2;2;3;3;2;1;1;2;3;1;1;1;3;3;3;2;1;3;1;2;3;1;1;1;2;1;3;2;1;2;1;1;3;1;2;2;3;2;1
2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;1;2;2;2;3;2;2;3;2;3;2;3;2;3;3;1;3;2;2;3;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;1;2;2;1;1;2;2;2;1;2;2;1;1;2;2;2;1
2;1;1;1;2;1;1;1;1;1;1;2;1;2;1;1;2;2;1;2;2;3;3;2;2;2;3;3;3;3;1;2;2;2;3;2;3;3;2;1;2;3;1;2;1;1;1;1;2;1;1;2;1;1;1;3;1;2;2;1;1;2;2;2;2;1;1;1;3;3;2;1
2;3;3;2;3;2;2;3;3;3;3;2;3;2;2;2;2;2;2;3;2;3;2;1;2;1;3;2;2;3;2;2;2;2;1;1;1;2;2;1;2;2;3;3;3;2;3;3;2;3;3;2;3;1;1;2;1;1;2;1;2;1;1;1;3;1;1;2;2;3;2;2
2;3;2;2;3;2;3;2;1;3;2;2;2;2;1;2;2;3;3;3;2;3;2;1;2;3;3;2;2;3;3;3;1;1;1;1;3;3;2;1;2;2;1;2;2;3;2;2;1;2;2;2;2;2;1;1;1;1;1;1;2;1;1;2;2;1;1;?;1;1;3;2
2;2;2;2;3;1;2;2;2;3;2;3;3;2;2;3;2;2;2;3;2;2;2;2;2;2;3;2;2;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;1;2;1;2;2;1;1;3;1;1;1;2;2;2;1
2;1;1;1;2;1;2;2;1;2;1;1;1;1;1;1;3;3;1;3;1;2;2;3;3;3;3;2;2;3;1;2;2;2;2;2;3;3;1;1;2;2;1;2;1;2;2;2;2;1;2;2;1;2;1;2;2;2;2;1;1;2;2;3;1;2;1;2;2;2;2;1
1;2;1;1;3;2;3;3;2;3;2;2;2;2;1;2;2;3;1;3;2;3;1;3;2;2;3;3;2;3;2;3;2;1;2;1;1;2;2;2;2;2;1;3;2;1;2;2;3;2;2;2;2;1;1;1;1;3;1;1;2;1;3;3;2;1;1;1;1;2;2;1
2;2;2;2;2;2;1;2;2;3;3;2;2;2;2;2;1;2;2;2;3;2;3;2;2;2;3;3;3;3;2;3;2;2;2;1;2;2;2;1;1;3;2;2;2;2;2;1;2;2;2;1;1;3;1;3;1;1;2;1;2;2;2;1;2;2;1;2;2;2;2;1
2;1;2;3;3;3;3;3;2;2;3;2;2;3;2;3;2;2;2;2;3;2;2;2;2;3;3;3;3;3;1;2;3;2;3;2;3;2;1;2;2;1;1;3;1;2;2;2;2;1;2;2;3;1;1;2;1;1;1;2;3;2;1;1;3;1;1;2;2;2;2;1
1;3;2;3;3;2;2;2;3;2;2;3;3;2;3;1;1;1;3;2;2;2;3;2;2;1;3;2;2;2;1;1;1;1;1;1;1;1;1;1;2;3;2;1;2;2;3;2;2;2;2;2;1;3;1;1;1;1;2;3;2;1;2;1;1;3;2;2;2;3;3;1
2;2;1;1;3;2;1;2;2;2;1;1;1;1;1;1;3;3;2;3;1;3;1;2;3;2;2;2;3;2;2;3;1;2;1;2;1;3;1;1;3;2;1;2;2;1;2;1;1;2;1;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;3;1;1
2;3;3;3;2;1;3;3;3;3;3;3;3;3;3;3;1;2;3;3;3;3;3;3;1;2;2;2;3;3;1;3;3;2;1;1;1;2;1;2;1;2;1;2;1;3;2;3;3;2;3;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;1;2;3;1
