,Physical Aggression,Anger,Hostility,Всесилие,Неуязвимость,Уникальность,ОЭ,ОШКМ,ШЭС,ШЭМ,ШПС,ШКМ,ШНО,ШЛСМ,ШВ,ШСЖ,ШЛ,Директивный стиль,Аналитический стиль,Концептуальный стиль,Поведенческий стиль,Безопасность,Конформизм,Традиция,Самостьятельность,Риск-новизна,Гедонизм,Достижение,Власть-Богатство,Благожелательность,Универсализм,Неув.в прич.,Новизна,Сложность,Нерешенность,Общий ,Политика,Личный опыт,Воспитание,Спорт,СМИ,Общий,F1o,F2o,F1s,F2s
Physical Aggression,1.0,0.3036409656847492,0.22014119231494475,0.18875668169729704,0.07483954728971191,0.07837729006542606,0.11640709468045572,-0.14245329996313064,-0.10798997025455016,0.11197272407570318,0.00201150097981288,0.1838248013925245,0.057454991458577485,-0.01025944720162872,-0.15631819173301922,-0.09130603933359911,-0.11428547506989961,-0.20723449119373413,-0.08071270371478598,-0.15402375408288932,0.012089814525153836,0.009606194005488343,0.04655184899620069,-0.034001355343155175,-0.1607060089092594,-0.10893777733763679,-0.1277246788107453,-0.1538685601020993,-0.23181206701083934,-0.011576130762147066,-0.028424868029463653,-0.05269496075657923,0.13262789722710855,-0.003705390876810644,0.06077187935131157,0.07624915931509729,0.2408170632044913,0.3961474814360189,0.2296830066557737,0.17170705471623285,0.1161027228995149,0.3343709070314048,-0.14406063983745637,0.03650504461503733,0.13183289623167407,0.17564034665813563
Anger,0.3036409656847492,1.0,0.39176767477579455,0.022251433522959663,-0.09137846228369466,0.09572976783725456,0.10503603171336315,-0.3777011549818954,-0.36657029506440597,0.17988679733423518,0.02841972826054958,0.32843806957282046,0.02525474332288708,0.19824721870864898,-0.10092227966930264,-0.24294805662857938,-0.36066139382248297,-0.22890896167236915,0.012625563489076364,-0.02391591811418968,-0.0356578005123602,-0.17843533426196184,-0.008100867325286254,0.12100787098260996,0.013228361452751788,-0.01427253708346834,-0.11580402655174571,-0.14835153653116342,-0.2700249355945728,0.0169019257884101,0.023510872789335526,-0.05378010913438055,0.0010270880866070514,0.047448553081520004,-0.00867295603691727,0.0899912739620682,0.06845156882256065,0.12498823554252984,0.08320145171333967,0.10542507838677663,0.06256378348882546,0.1327644610140954,-0.05009536805333043,-0.09861025658157484,0.12165699319515236,0.08721399832726186
Hostility,0.22014119231494475,0.39176767477579455,1.0,0.03827086182505277,-0.07800494193156511,0.2014071616712081,0.23169216177832028,-0.32261965518334107,-0.2926327832088114,0.17581965639017436,0.0666764951047273,0.3408254033467227,0.12297139711395857,0.248021225422765,-0.061280777133548486,-0.13654393900458714,-0.13042144610627848,-0.17728452740060113,-0.041367629696585306,0.0069234133082545155,-0.08838351974988201,-0.10478264847413897,0.004806044518423094,0.13298874457664817,-0.00993270112917183,0.023814966839990695,-0.15438144934802292,-0.13689117240922985,-0.21711080040999106,0.03621772918019828,0.04463041587486529,-0.10426559162432565,-0.04353015458735469,0.0411020745703524,-0.027090797526205964,0.08874521349202465,0.15156315039403076,0.10232909116162353,0.043233895822925916,0.09475863028855311,0.015444459025719174,0.13915234758396416,0.008117261766727049,0.037386551632902866,0.20972984555323512,0.21115904254405166
Всесилие,0.18875668169729704,0.022251433522959663,0.03827086182505277,1.0,0.31320430805511124,0.07371714664440034,0.06212832226863255,0.15495268106646584,0.21267543151306204,0.037560107153612306,0.14497578830329916,0.03315388924840129,0.10563970177115299,-0.2027994753803589,-0.11316879319735616,0.007469951579227451,0.0676764921598545,-0.1357007495472848,-0.17623075945268551,-0.12550656854127748,0.0870213217231853,0.09462022645903082,-0.004465313800907113,0.00962905511995697,-0.20164759315052988,-0.10237228277243285,-0.11999906101102137,-0.17261102174012985,-0.15019922299266145,-0.04501380609149176,0.07755520710034124,0.23743724305860253,-0.03736561135556818,0.02403971569981564,-0.01480091491341277,0.014714136656000132,0.11892462333240299,0.19830547244476557,0.14682132881366927,0.0011558149923646872,0.031746063627841103,0.14942167358915986,-0.1045793221091843,0.023446789126896076,-0.15902538500644356,-0.01999425153255723
Неуязвимость,0.07483954728971191,-0.09137846228369466,-0.07800494193156511,0.31320430805511124,1.0,0.08540950275080034,0.07819672528745987,0.19843690574288322,0.30752857700281044,0.02098440556736016,-0.08351227563372274,-0.026746455973712276,0.0031451090769307084,-0.2949526688058788,-0.1570677470339811,-0.0025964305958503997,0.13941181638159503,0.08261728037373922,0.08461990721476147,-0.009473394988056466,0.2521147634658623,0.2886182303690294,0.15842596638009668,0.05257420481382041,-0.17402524309162096,-0.14663845686515858,-0.08765982823632015,-0.005342173039633602,-0.12807686497792894,0.028951438725103414,0.08091749007001678,0.08646541981556936,0.015007966569404221,-0.138463929524641,0.11025557523528746,-0.16521024735775872,0.06565035645264199,0.20139361880615575,0.13423372881182286,0.18511379352400556,0.08282369823056511,0.15596130675884778,-0.202810078764759,-0.14707492834611718,-0.12301443187193278,-0.035372851673119356
Уникальность,0.07837729006542606,0.09572976783725456,0.2014071616712081,0.07371714664440034,0.08540950275080034,1.0,0.012905689497846099,0.012934708778798638,0.02161250357447786,0.1041026551698782,0.0074180516128826,0.08288391911809187,-0.004278419077551419,0.0,-0.1798352206633024,-0.02072124002131702,0.03898751219212259,0.0060096162114350845,-0.001140748381527156,-0.1317342106118766,-0.02629374637390876,-0.02414241373147383,0.13090735615528545,0.03195055201138601,-0.22649277799261153,-0.21366334160695047,-0.21336098679205634,-0.009178171662547951,-0.0486590426554166,-0.004125923267119734,-0.0603897009777037,-0.076358153108658,-0.12691911793498048,0.012040323002950189,0.03310016400516429,-0.01942893111299958,0.0036697923591250126,0.13837105504917277,0.11588303495144223,0.09927988339441297,0.1510505455547586,0.11366379061368782,-0.17785731018297107,-0.13164155924382406,0.04480000047391736,0.0323091479219991
ОЭ,0.11640709468045572,0.10503603171336315,0.23169216177832028,0.06212832226863255,0.07819672528745987,0.012905689497846099,1.0,-0.16099656338209958,-0.10572018345981168,0.14397240107926468,0.09017695442401961,0.4826854829191576,0.1612927376846501,0.10227374949255351,0.0011986622901638522,-0.24789456175494165,0.07550723583066363,-0.010692121629724074,0.10280939640759354,0.15182202105479378,0.15728810052928335,0.03310724767978663,0.11081079574280413,0.10348708190531257,0.04013021784049736,-0.016711462908918645,-0.04339377406011967,-0.05501068194204951,-0.20860118612997974,0.04672265214400835,0.23320034194861178,-0.16877723025716512,0.10617234659847428,-0.10739831814422786,0.073464257108955,-0.06427013900278382,0.23574276482610265,0.14915630616879372,0.1667152676775114,0.15227884881916862,-0.008027927108962,0.20625862314374271,0.007555988986668796,0.05475370285463833,0.07397938489322384,0.24242096291385262
ОШКМ,-0.14245329996313064,-0.3777011549818954,-0.32261965518334107,0.15495268106646584,0.19843690574288322,0.012934708778798638,-0.16099656338209958,1.0,0.744478079884208,-0.34309542344098715,0.15790401001161172,-0.4091792955468493,-0.09149596075115117,-0.3388616186589926,0.01762861637200666,0.3054519336801331,0.23044938886345218,0.03654954727574493,-0.21967180344178888,-0.004820082943580142,0.06734516909595507,0.2145334064515773,0.10037909992338011,-0.020591426778670076,-0.0568003785560622,-0.03364762443456525,0.15768754097489915,0.14187461386768999,0.21989418247617612,0.06565086880347518,0.0033049685908312404,0.30407892769796,0.007074607605458899,-0.0844385303850046,0.15600551848105085,-0.07992871040789426,-0.10396949348632303,0.02801568474693952,-0.05835753060260751,-0.04183934169610474,-0.021926540582057848,-0.033704740606411064,0.015956444296723375,0.035023685469780186,-0.2536117752139935,-0.12433323895217663
ШЭС,-0.10798997025455016,-0.36657029506440597,-0.2926327832088114,0.21267543151306204,0.30752857700281044,0.02161250357447786,-0.10572018345981168,0.744478079884208,1.0,-0.15684014208109562,0.11504216437839342,-0.33494394533027794,-0.06511550618463414,-0.38858491558158653,-0.0032260804335800778,0.2667881044151533,0.23262137840955394,0.04921041973892986,-0.12908498420718617,-0.02547203419846764,0.09801092656979395,0.24772625835222806,0.14705522338032956,-0.03038456690528883,-0.10365079736511598,-0.09404332349451568,0.07691956236754335,0.08192810160106807,0.1731786839621032,0.04572704547353041,0.007797646245843954,0.3007352255734522,0.022194354927985886,-0.09783803600062889,0.17889516127424604,-0.08077763229276516,-0.04017362394061559,0.02964303293241109,-0.0135733314055329,-0.06150153796513919,-0.007856861096802453,-0.01612683497456463,-0.07110557153921997,-0.03639328544744734,-0.2727210124102293,-0.11614202389969232
ШЭМ,0.11197272407570318,0.17988679733423518,0.17581965639017436,0.037560107153612306,0.02098440556736016,0.1041026551698782,0.14397240107926468,-0.34309542344098715,-0.15684014208109562,1.0,0.15374244402282217,0.2298571328920188,0.21335951375241996,0.09421359688351162,-0.07241828325001927,-0.07023107921874219,-0.08085463880110237,-0.046461696154226274,0.15594886821801343,-0.11894790834300904,-0.0728760156268812,0.001187505619645909,0.06890766430540737,-0.07325585470829227,-0.05744106385317573,-0.14600018576199608,-0.3041097774425387,-0.15393770169944823,-0.1641326745174278,-0.09951139677859613,-0.002115864517654245,0.03014084626625062,0.17759450057551593,-0.03664446074425192,0.03296933280539546,0.05004862918537662,0.18163965595897896,-0.021702368393008653,0.1088699975926122,-0.06746258971739821,0.0011312293645774933,0.048480477230076625,-0.17457439691515916,-0.062383671200937615,0.03359913774452653,0.05897660717253371
ШПС,0.00201150097981288,0.02841972826054958,0.0666764951047273,0.14497578830329916,-0.08351227563372274,0.0074180516128826,0.09017695442401961,0.15790401001161172,0.11504216437839342,0.15374244402282217,1.0,0.025948445581107062,0.33925502825325876,0.09385075505004388,0.006260426923928705,0.037295418344532205,0.13708063127208864,-0.2532712415370546,-0.36527721464835744,-0.11392484737387669,-0.06201559589269979,-0.0628778222804235,0.008088087175258532,0.02694914772714242,0.012006810934218013,-0.07184385253893107,-0.0015094168531291463,-0.1323539847861141,-0.047082350487010184,-0.0885211051481997,-0.09663881430578598,0.2096672219664966,0.14835099745283706,-0.03259041562912294,0.10876047320163199,0.008749370160640809,0.061821161619749515,-0.0213196555833117,-0.016671526186481274,-0.11776186890459349,-0.10524938331007831,-0.005935298873122245,0.03845186542498281,0.228076980489683,-0.06424345437501375,0.041440953745399293
ШКМ,0.1838248013925245,0.32843806957282046,0.3408254033467227,0.03315388924840129,-0.026746455973712276,0.08288391911809187,0.4826854829191576,-0.4091792955468493,-0.33494394533027794,0.2298571328920188,0.025948445581107062,1.0,0.20182677126818735,0.23037154991837938,-0.04864065649414744,-0.5139977871482856,-0.013085390598893047,-0.07979673064296586,0.16246438746781205,0.15598782258045774,0.1005450645976785,-0.17068829614124384,0.035763023616088595,0.15514335594243664,0.025085218651633146,0.004430333605161875,-0.12464022122372513,-0.08255666440015266,-0.2864182194932505,-0.0226796990929968,0.0867419713129364,-0.22979239352081723,0.08535822720798124,-0.08456869132658663,0.05065586073550974,-0.0364922687584502,0.23727259903116696,0.0893669482601588,0.13640700341314482,0.1269945578857163,0.0164585704696968,0.1954245077696032,0.006040264986073865,0.01738768913612666,0.20491213083021267,0.25615558294576063
ШНО,0.057454991458577485,0.02525474332288708,0.12297139711395857,0.10563970177115299,0.0031451090769307084,-0.004278419077551419,0.1612927376846501,-0.09149596075115117,-0.06511550618463414,0.21335951375241996,0.33925502825325876,0.20182677126818735,1.0,0.0999618775955378,-0.015497568325562287,-0.3875878111264025,0.1633392741107632,-0.06581441320636089,0.023485608145729257,0.11274178247469065,0.03444323829223817,-0.03232790140775946,-0.12997126598532546,-0.03602280690672094,0.10893059255091513,-0.0329437312150417,-0.08993547127752628,-0.1085289084282227,-0.05036668011525474,-0.1106936738068278,0.03992447248196928,-0.044591223819085625,0.09841669786740809,-0.0285504298225027,-0.002423901909043418,-0.06627431218305929,0.18767836759763507,0.029270605472856624,0.057471551479517574,0.08895014348384037,-0.15626053701004186,0.10228393532356606,-0.08988800093982936,0.10920097618742776,0.02072703918285392,0.15250605374610024
