,Physical Aggression,Anger,Hostility,Всесилие,Неуязвимость,Уникальность,ГЧС,ПФ,ВСУ,ППВВ,ООО,ММО,ОЭ,СЧЗ,ДЗП,ОШКМ,ШЭС,ШЭМ,ШПС,ШКМ,ШНО,ШЛСМ,ШВ,ШСЖ,ШЛ,Директивный стиль,Аналитический стиль,Концептуальный стиль,Поведенческий стиль,Безопасность,Конформизм,Традиция,Самостьятельность,Риск-новизна,Гедонизм,Достижение,Власть-Богатство,Благожелательность,Универсализм,Неув.в прич.,Новизна,Сложность,Нерешенность,Общий ,Политика,Личный опыт,Воспитание,Спорт,СМИ,Общий,E',E,e,I',I,i,M',M,m,E||,I||,i||,OD,ED,NP,сложные,GCR,F1 (ОПС),F2 (ОПС),F1 (ША),F2 (ША)
Physical Aggression,1.0,0.3579187472762013,0.2622468046199392,0.15494877852625033,0.1899808105546973,0.11667724798815936,0.16067535125202545,0.14355034534895458,0.032259136664355786,0.150277560398916,0.24511468378026763,0.21627246293551425,0.2168472387310238,0.17807559244579133,0.3227013462637722,-0.25408180190389235,-0.15286332095541788,0.084089094784122,0.06850501557657371,0.11846603207047553,0.07397554587704855,0.0,-0.22270267164200114,-0.27395601629451494,-0.08571072627635036,0.0033022324156423586,-0.07172132352212604,0.012160557252166287,0.04501991310993719,0.0352785848324868,0.04534168222614245,-0.06027301122816734,-0.15287706794123943,-0.23084937468582237,-0.07197344700987966,-0.1984383913855441,-0.2623299457805211,-0.022431311507546778,-0.09037678614800254,-0.09521952927394017,0.1504173652609024,-0.08435190623581527,0.07992839556948078,-0.003890858233596594,0.34671383264758265,0.3869201125973975,0.33490058471680595,0.19906081151421157,0.17177572226169519,0.38525038441374804,0.0030367761151123677,0.14013989701543172,0.19600729539525624,-0.09419990047800798,-0.16976280056788504,-0.09970092177949132,-0.021826905378764277,0.02071959580289981,-0.00334220660165982,0.09407959972247788,-0.2560650198274211,-0.05957357382148798,-0.07779229674280076,0.10030639106382026,0.07086936738384077,0.1453601510828135,0.0,-0.11559798366269816,0.04260272850340118,0.17589753929276716,0.08487438872502255
Anger,0.3579187472762013,1.0,0.42069806799878495,0.005372723374541004,-0.07195902725349876,0.16048131237028163,0.07937678003059163,0.11631479607232545,-0.045032912171856676,0.34951656798418984,0.17997447654086238,0.21484517273058037,0.1774881826516679,0.33157551032910004,0.14849242920451128,-0.47114970134771444,-0.4378085178989255,0.21448561999863858,0.06160590421204973,0.4036175664900524,-0.025398328679648384,0.23435213650955128,-0.13207953500607547,-0.20209951946222582,-0.4202105721056823,-0.06615106333592824,-0.08410171918629071,-0.02994534699008277,0.0011731369585086073,-0.17452253956597463,0.02733840047647372,0.12359589861087462,0.019858313369903114,-0.06934392726506233,-0.01572621684617885,-0.17886189136482594,-0.2558585265089916,-0.09234158636149094,0.06380841324455683,0.02883139755132789,-0.023979442147983605,0.034753064633973534,0.014877060330404333,-0.00488838281807688,0.11676963837932898,0.09317248896255688,0.14304023874668045,-0.0025207592056734566,0.1065752984354827,0.10818816518669715,0.10783286888665357,0.21244565074057456,-0.002373651912091348,0.010178149998272806,-0.11729488980852552,-0.04379900489791295,-0.18490680740416776,0.019646826240285308,-0.1942457214765866,0.23370562283270713,-0.07964152453075023,-0.1521781303635246,-0.051288551022764806,0.14934452920226918,-0.16683978135247823,0.13862473327473246,0.02250031428399617,-0.07774591144060783,-0.10971399643394092,0.09631676918598822,0.11471023001606342
Hostility,0.2622468046199392,0.42069806799878495,1.0,0.03477619826940887,-0.04174009196495862,0.20244716298496856,0.14041318822598636,0.20858011368126,0.10873693997192856,0.20913011584198615,0.18754712926663783,0.34113955846457944,0.3270488546964466,0.4390746986723819,0.14763171031241532,-0.2908602572275833,-0.27448606393768066,0.2835040132071127,0.11112270554376337,0.3190014538901846,-0.022680129306136217,0.260566943029878,-0.1486393663422424,-0.04816035478987947,-0.10371055790031161,-0.006659539224191208,-0.11571104806409475,-0.06278125413600301,-0.009684337607254264,-0.09471250457946458,-0.036478551758944086,0.06768194678526313,-0.04703728801021387,-0.04284462745322708,-0.18436406875381647,-0.13664898864238034,-0.27353514793202677,-0.05293659987556955,-0.0042941042619628585,-0.08474436412155867,-0.002749335774366874,0.008275652146246565,0.041256921062433026,0.04707964751299342,0.2119618140452544,0.19600223323454705,0.1010843546144701,0.08670443732535402,0.009622675210284058,0.16337227853662686,0.1250396295045788,0.16264262479641622,0.040294512104276446,-0.03776861386999055,-0.09003869681809545,-0.11481516480822986,-0.1541931021483686,-0.004883531297598978,-0.18972762035836493,0.24845888185034098,-0.14874868717764517,-0.14779820660001353,-0.12805737044616994,0.18799602110199362,-0.11132391904530362,0.08964793410583896,0.04524160693466499,0.05332591283294094,0.020584037408132503,0.21659223821572518,0.1339647748855908
Всесилие,0.15494877852625033,0.005372723374541004,0.03477619826940887,1.0,0.33815231807709994,0.06244813492456521,0.2526982923107494,-0.023647229121206585,0.19343281038606078,-0.007600345705364281,0.014682927440693005,-0.06674487988336669,-0.09136465346978037,-0.18388864101728056,0.16932125625084007,0.16497229213713724,0.03599498751765675,-0.022873728153363033,0.057242334965831775,-0.10415508294402052,0.17233429394812683,-0.251975902163312,-0.24163507100524367,-0.006234944138492845,-0.06099509887413782,-0.0780612596357648,-0.013783867908929581,-0.21875205058536473,-0.020073146058142935,0.12865176458817232,-0.034485420224793714,-0.00368570910745781,-0.10491911890461271,-0.09445691375357469,-0.13402747394743947,-0.12176835956401054,-0.14150929193636705,-0.03962446054742398,0.11403649751974411,0.16753434243429932,-0.05973775432527493,0.030494760324672285,-0.032916763082794454,0.0012818919509295604,0.1805396293133209,0.2942563488034728,0.1749319421800134,-0.017351893811573493,0.08069836987800297,0.21018339221756313,-0.028729033644178174,0.24678940599463958,-0.08175934976735193,-0.4060797902367449,-0.32028279572513874,-0.09782027298551699,0.11471703236246157,-0.16292796280082972,0.04893342359225849,0.017200604327016315,-0.20257593074742916,-0.06779272830603443,-0.08402172272721582,0.11767557498489815,-0.12007034976343799,-0.0333482653074574,0.2071938639564307,-0.16297999730645732,0.011258043437330766,-0.1821189410673083,-0.007471612401617283
Неуязвимость,0.1899808105546973,-0.07195902725349876,-0.04174009196495862,0.33815231807709994,1.0,0.11684632871728327,0.2274707492320785,0.052881189894751456,0.02084673547581174,-0.17756809057827536,-0.046628514180210384,0.0252588199017838,0.08151113367977203,-0.15941611201809133,0.2681821329648818,0.17183233613409052,0.2399568996603634,0.038146841041725735,-0.13972436863472465,-0.014144443667156946,0.09848121001948232,-0.3399754692292598,-0.13450449319725774,-0.07609522163480033,0.09846864542738663,0.15103926877586335,0.17495616939385872,-0.06161051721967362,0.21119433999636392,0.2464715530253303,0.06691441772997161,0.03580258646697651,-0.2056785105645314,-0.23646301052316443,-0.15234105766062375,-0.07961456060600226,-0.17680235703374078,-0.03022513153827242,0.10512031205763805,0.034153157469638366,0.027408929597750726,-0.13887901995481255,0.0688692172920259,-0.22685285133135918,0.2209558061095782,0.23753643054485638,0.1484854943454938,0.1564531066566059,0.11831521276362397,0.1710141150638099,-0.11047188003093811,0.22154193443490602,0.0580411548868202,-0.10061911467642866,-0.2786391062876764,-0.08191321162238357,-0.005288174763229842,-0.2174345783780979,0.11273133660360363,0.20697220414923315,-0.15916375083304188,-0.1953577125043922,-0.1159807031781966,0.13783797674911802,-0.030178272940920525,-0.14527234669480607,0.17000141922540377,-0.18818462522868035,-0.21413036651332,-0.07435909793305728,0.008319972676303744
Уникальность,0.11667724798815936,0.16048131237028163,0.20244716298496856,0.06244813492456521,0.11684632871728327,1.0,0.31009213887017056,0.0665661749916992,0.1994124168613515,0.03302840850622156,0.0351060569902965,0.18959872657536775,0.10024796015490298,0.12553662415760636,0.12487036096248738,-0.07737808548687387,0.049425698976927696,0.1576868451844063,0.08471112753450893,0.010142941331843547,-0.0467091740899187,-0.03131372427806292,-0.10504289430178758,-0.03707235537373582,-0.0009949815319087517,0.08721052117523764,-0.04759606068564423,-0.243089650091442,-0.03414438649427729,-0.01119822204838723,0.14747695721323112,-0.007420904426798864,-0.2674096676624299,-0.28298479462253096,-0.2229542813838998,-0.059888281614046884,0.01968187420093012,-0.0984103426964421,-0.11919639061429291,0.019979609737050083,-0.14724771501983458,0.023620073616174284,0.03962721613384335,-0.05758845623776015,0.02480732662472658,0.13755527437388118,0.14733455118555397,0.056335530348636365,0.2566449202226584,0.08548675269437216,0.2824720218780936,0.14845230034518336,-0.2948439933806504,0.020928501203757475,-0.0847511732821765,-0.01487451429112458,-0.00938266572285403,-0.11230431959983227,-0.06095730811156223,0.10089794637571733,0.04556368881786962,-0.06665124541419536,0.2384092555859402,0.0677574929378336,-0.18857653044822298,0.009546400109959491,0.14285800164395843,-0.30376802772267003,-0.1649814683368148,0.1297355065792216,0.06461956526687507
ГЧС,0.16067535125202545,0.07937678003059163,0.14041318822598636,0.2526982923107494,0.2274707492320785,0.31009213887017056,1.0,0.46178593638732907,0.5105770896385642,0.3574287424208564,0.1250219235938139,0.38808586556788915,0.046277951785812246,-0.00957837842551246,0.27689421535675723,0.08800318880091675,0.11154893072194197,0.09368754807009347,0.21263314628134042,0.004206202684120923,0.16829397471612026,-0.1778513803858323,-0.20268799012430233,0.010206910241055451,0.07867125468687797,0.03910207715750937,-0.03544735906007077,-0.17479670703642652,-0.012361402179776309,-0.035416865562070646,0.029799939160506314,0.12412156325548754,-0.03424058682341823,-0.16237342062171545,-0.14729593338388552,-0.2953868132023948,-0.27318041203282534,-0.11892318345643882,0.14031702420750722,0.24764128800165752,-0.06550770292881042,0.03521103477538609,-0.04898760026032973,-0.07154046060565035,0.02065647556352616,0.06118233976520394,0.19730907143287088,0.23506807564647086,0.08516001380745353,0.19555823944222808,0.04102639846486284,0.2229676758140583,-0.20989573390303742,-0.21877979168954206,-0.14965135687542108,-0.052585685880362436,-0.005415579061876926,-0.178965763110411,-0.1838605051128648,0.157562175469544,-0.17002967415651618,-0.11559272361611735,0.0013052191780281222,0.139325579478573,-0.14569658861617224,0.033060509291641005,0.10207306794177026,-0.19998423179674307,0.11789088805086279,-0.1951958290971334,0.009706793772139228
ПФ,0.14355034534895458,0.11631479607232545,0.20858011368126,-0.023647229121206585,0.052881189894751456,0.0665661749916992,0.46178593638732907,1.0,0.3052365471932801,0.40898989105608985,0.08792945418500278,0.3784112198321795,0.12342518072883146,0.23143978732568485,0.08429002349569195,-0.05971620659292404,0.028799493933330436,0.1459139883369825,0.16695022171310847,0.05461792053081711,0.09972961846769733,-0.04709288002901171,-0.03731899042084823,-0.008341530318342375,-0.0735437797898906,-0.13415309492537913,-0.14064329542463183,-0.018510201932672114,-0.03457222896208192,0.12064206702853551,0.029269664971129816,0.04085678367713811,0.03895149829819862,-0.1432653521848694,-0.08919574168876308,-0.4063698298294525,-0.3163009967124613,-0.1673813830519307,0.1498891536026581,0.23034570405190882,0.013086514155097137,0.08440956120921496,-0.06850398150113868,0.04573338198815153,-0.02332401694442563,-0.07958794032165847,0.09626033614832846,-0.07207561355715267,0.06356306875332896,0.0731345119396884,0.13645253631671614,0.250447098027404,-0.045098930939000914,-0.044532840710041634,-0.11009240971890719,-0.12555204407104206,-0.017561747755374103,-0.23583907115964775,-0.13567086277257462,0.29695993122558934,-0.2009060953849736,-0.2389130829593618,-0.042325907734162685,0.07743533927439569,-0.10320974970871863,-0.019242691044653096,0.05108547514374757,-0.17665068846458992,0.0876321313696247,-0.08049257880370722,-0.07813310242015883
ВСУ,0.032259136664355786,-0.045032912171856676,0.10873693997192856,0.19343281038606078,0.02084673547581174,0.1994124168613515,0.5105770896385642,0.3052365471932801,1.0,0.31954087985848767,0.2040306012848661,0.24329134471361916,-0.08423768992638786,0.16389280329127892,0.06308063796038307,0.03209976743407668,0.11420292023257775,0.09719484282777137,0.24699685929099982,-0.12112376205665376,0.1371034754934167,-0.10989427159890598,-0.0014466633681243515,0.14371457426378512,0.09997712644847484,0.03335289501476464,-0.05286797432812718,-0.1479046391135134,-0.0836020601551348,0.11674083908032751,0.009743739648429766,0.043691178816453735,-0.04517565656913094,-0.06333726275572882,-0.1563668255763812,-0.13846600491223107,-0.1135676663539759,0.024863094664897722,0.092564326205785,0.17014991962414733,-0.06812262759238519,0.11682680792349691,-0.09610538203459065,0.14478239167035772,-0.016692017671515548,-0.041136145970868905,0.11554132228980471,0.0882194575690982,0.03140404818088679,0.113880290944515,0.05673227084311978,0.1764754692417037,-0.013485009149389167,-0.26453408638270576,-0.07826068674189325,-0.08245557317409236,-0.0484431127644787,-0.1677524979219705,-0.1463396359882469,0.06743926124804132,-0.23865669600115913,-0.07904390582381104,-0.02842698356035009,0.13308936194650706,-0.10793179124878138,-0.065003648266311,0.22593876395053558,-0.12240261824112324,0.07926432362846218,-0.15629150540474904,0.018794779044369492
ППВВ,0.150277560398916,0.34951656798418984,0.20913011584198615,-0.007600345705364281,-0.17756809057827536,0.03302840850622156,0.3574287424208564,0.40898989105608985,0.31954087985848767,1.0,0.3309943895461298,0.25062328104517456,0.11366821337121577,0.29457630394754414,0.09433027486573946,-0.3183087337120589,-0.30340468121889497,0.11453071761602485,0.10869577383509017,0.10306636939964303,-0.025841175398238554,0.059744356777347636,-0.013793701206504189,0.009135301458024755,-0.1886671754604505,-0.1180001018501394,-0.14201698263957152,-0.00986186579910289,-0.08336419884305113,-0.0916411760927761,-0.0733460379674259,0.1360855187296203,0.13203196409180323,0.013321556362554231,-0.09471272619151105,-0.31668181785188015,-0.4019133785859064,0.0425750439874628,0.1084045697245986,0.09607223900765714,-0.14326694397712958,0.1747151629159,-0.13021805443348677,0.08789973993954447,0.034041633360750126,-0.009338726137014596,0.17132058726409222,-0.039224996476219874,0.015662624100393586,0.05474773881538166,0.18388180809496885,0.03921422969399759,-0.04395764956830157,0.027561238671548503,0.0006252687279034407,-0.013580288310650841,-0.2309559019192014,-0.005593646568724558,-0.11467980608327837,0.1418003544059018,-0.0037817462841774193,-0.17034369574238847,-0.056628384920919365,0.031332670183665604,-0.04042488680416053,0.11817227677587863,-0.05753228917919252,0.057880031779754926,0.16105152172905654,0.019494599252180136,-0.04001524239030244
