,Пол,Physical Aggression,Anger,Hostility,Всесилие,Неуязвимость,Уникальность,ОЭ,ОШКМ,ШЭС,ШЭМ,ШПС,ШКМ,ШНО,ШЛСМ,ШВ,ШСЖ,ШЛ,Директивный стиль,Аналитический стиль,Концептуальный стиль,Поведенческий стиль,Безопасность,Конформизм,Традиция,Самостьятельность,Риск-новизна,Гедонизм,Достижение,Власть-Богатство,Благожелательность,Универсализм,Неув.в прич.,Новизна,Сложность,Нерешенность,Общий ,Политика,Личный опыт,Воспитание,Спорт,СМИ,Общий,F1o,F2o,F1s,F2s
Пол,1.0,-0.17430432185668582,0.15284663084846295,0.09103425865245078,-0.22146254041000277,-0.16052910140302729,-0.054032705616009806,-0.02825456059046588,-0.2889835503569691,-0.23533871449027652,0.1911796270097774,-0.04753288913191414,0.1450004983281863,0.015024021226933361,0.16134988337299536,-0.05407873186492767,-0.14783307545524366,-0.06461230010790132,0.07937808358467488,0.20622469081171962,0.1477196047574392,0.15691334914486332,-0.20124242238506132,0.011261726596456334,0.010227130361960267,0.16468671708561552,0.024299384817719153,1.0253151942989206e-17,0.051797256154337716,0.06794806624615689,0.08125036075147397,0.05788328798822152,-0.1744385070869849,-0.10784940439620856,0.053522585780935855,0.02492032831537696,0.01606278860383835,0.05796214427507878,-0.21324001918711127,-0.14106588280692586,-0.2653158617005667,-0.012281890285845705,-0.188618756975133,0.12335695713731894,0.011514494010702252,0.016134722872401898,0.06782121607766328
Physical Aggression,-0.17430432185668582,1.0,0.37841004889854835,0.3215018167403309,0.3014289730117504,0.09494293816404772,0.15307318454382673,0.20120245018581737,-0.14532094926280514,-0.11446007407539413,0.1400494387612418,0.006054078006881674,0.24028351874331694,0.08410811597707145,0.05174802325991439,-0.22096120920737544,-0.19088040707015477,-0.0870444874017694,-0.14558548801711602,-0.07269844866652476,-0.107076208962529,0.08470209086701383,0.027044851468055475,-0.022536896171533146,-0.1200104807542669,-0.2411152241370595,-0.1823165843919261,-0.18245976131382943,-0.1928784118289058,-0.30134115513697934,-0.055145923836365573,-0.08745629242496451,-0.06830105402046446,0.1968433788221315,-0.021504817015907184,0.058819170358215,0.15554888621557267,0.36973110480448795,0.5717745126035003,0.3139293034402059,0.2316772673910319,0.17840673357447076,0.4756711921057332,-0.19238265222577713,0.05713268067839037,0.196329295586224,0.1251171654786044
Anger,0.15284663084846295,0.37841004889854835,1.0,0.5057377942142326,0.07362654367354957,-0.10975978044683937,0.15177487596524264,0.18050128294993995,-0.5372839669695779,-0.5387361450655911,0.294170642574729,0.08888395867609418,0.49424328307200016,0.12229619127327149,0.2980427249618342,-0.06983880811997252,-0.38506406002997384,-0.4064856188707352,-0.1518692466195389,0.07416648629390699,0.04135385839323801,0.03331893170015569,-0.21881265391864918,-0.052175145910044414,0.11517002979292713,0.0006429133193376428,-0.027026712271113102,-0.195777269372738,-0.22856547132733024,-0.36790611371034376,-0.05558897568474293,0.014924044440427537,-0.12983485390289912,0.013926376793256463,0.058184238583258614,-0.024638824850363013,0.0984549143954431,0.11006104766047463,0.1821671760603102,0.12099726182067987,0.12490075546161138,0.0931698296766154,0.16324286240703836,-0.10058093682370918,-0.19404367865576203,0.16713874065502102,0.08618905343366506
Hostility,0.09103425865245078,0.3215018167403309,0.5057377942142326,1.0,0.08744590657458312,-0.06983620329831984,0.2870177063497715,0.36242920776944965,-0.43412965213755683,-0.4016891662057308,0.23048286976025953,0.09305311028281917,0.48663392233161024,0.19430592345710976,0.3359143728348474,-0.0673965625173368,-0.2793351239665378,-0.1048306655019099,-0.18848896815996413,-0.023981010497685622,0.012254297920150264,-0.0815560204966824,-0.1420897167440321,-0.006112883624524014,0.15105787017183064,-0.02224981211705368,0.018662675123749407,-0.23239008702791505,-0.17272354167995585,-0.2955125086193518,0.004272285709039224,0.0337062581991419,-0.19753344698044165,-1.0864367432865754e-05,0.04275822243493275,-0.013585482525145198,0.06627589659122712,0.2080333852300917,0.18008793672279869,0.10327461314972809,0.152360953192363,0.035677334563807346,0.17670742447827895,0.026089486046230462,0.08384156500570697,0.303562294225868,0.2634412390232023
Всесилие,-0.22146254041000277,0.3014289730117504,0.07362654367354957,0.08744590657458312,1.0,0.461996291311562,0.10677346888936244,0.0707086674746462,0.2554926806728061,0.29868221428429736,-0.08810600990109838,0.11908514621520384,-0.016461396516530658,0.030523092619609508,-0.2642907421584117,-0.1556722807861546,0.024888549262885466,0.10406704824044566,-0.1711633240017705,-0.19358713684814627,-0.214403194843891,0.015927794980337064,0.18581362209324054,0.0820556205317794,-0.02540971416752004,-0.2388351534694314,-0.15815180570376383,-0.025948358965629834,-0.11453554403008882,-0.16331872644384787,-0.0032388559782288292,0.10348839001011294,0.2270005633863316,-0.06628259241538662,0.06782600099442102,0.004178679682790486,0.06400430570576256,0.1492504055320748,0.3098212850439698,0.19934475790708045,0.11992226886551641,0.12177917709720552,0.27250098367267134,-0.175287852589811,-0.03377439260162332,-0.14959721655645433,-0.0509233230884495
Неуязвимость,-0.16052910140302729,0.09494293816404772,-0.10975978044683937,-0.06983620329831984,0.461996291311562,1.0,0.055026846487598584,0.1389243683853023,0.2902936161817316,0.4273434474262379,0.007835738795163135,-0.11967974804225873,-0.06010175875345741,-0.07393153062374534,-0.4288489724351017,-0.18020582920885553,0.03178531688607786,0.16489425940305902,0.018975663853496538,0.031248388580310243,-0.08513903130176655,0.1956689085342073,0.30999139391291,0.19441845742724967,0.05451550554299633,-0.18492798648563424,-0.20387846229632872,-0.08735151723603804,-0.02838217279217968,-0.17335505553077749,0.08515002836693854,0.1295245538101692,0.1753274286583251,0.03277251115194412,-0.1782080836769842,0.14381142977708422,-0.20401278789299762,0.09244410592119515,0.2928219946907686,0.21546737497577398,0.2620143647427439,0.13333185016693014,0.23707029368248383,-0.2436663786052608,-0.19830438591856975,-0.16534890582748277,0.02681275651698538
Уникальность,-0.054032705616009806,0.15307318454382673,0.15177487596524264,0.2870177063497715,0.10677346888936244,0.055026846487598584,1.0,0.07843991727673222,-0.09360109674984199,-0.052404851468942706,0.1484644926863457,0.02015529728982775,0.16023922796637255,0.024560845905051698,0.0411809739308945,-0.23077804430825888,-0.09125735870593599,0.1063211587013553,0.026012918401596488,0.02717810715650504,-0.10414883655199215,-0.008439958158732885,-0.01727436463455377,0.14636209566149766,0.03279376335720534,-0.3065120257166984,-0.2727286608888713,-0.2969387282047058,-0.02677564360666558,-0.06991446382595644,-0.0714056897210908,-0.1725692727584561,-0.1454046483416426,-0.11050868746748253,-0.025651403294234897,0.012742117508871501,-0.12825813262246435,0.01449502165121377,0.1621819744969509,0.13397646789115036,0.12604898712026788,0.197862252875351,0.13072589012628238,-0.32847389152457374,-0.1457332559860275,0.13871481943855254,0.0067125516672199
ОЭ,-0.02825456059046588,0.20120245018581737,0.18050128294993995,0.36242920776944965,0.0707086674746462,0.1389243683853023,0.07843991727673222,1.0,-0.17600253722890152,-0.08490695622875973,0.17512761579119868,0.08224564949601851,0.6299772450370442,0.21465617429022088,0.1971983722952266,-0.02210132958727433,-0.3797519003138693,0.1580897186127466,0.09169419568943132,0.16759462944432735,0.24455448728730494,0.2795686763697631,0.03980106764258784,0.12332664691943991,0.1531148226493147,0.038221146549157155,-0.026918554436138626,0.032307962113782465,-0.017079252942167687,-0.3157154463808554,0.09170905563990568,0.29048435239892756,-0.2573390770222728,0.14742051998331085,-0.12129376701818671,0.08715532179720577,-0.04154060454593822,0.3380337184770166,0.28108034406227006,0.24391847876060385,0.23004569884219989,-0.015453758907456767,0.32320510006116293,0.02590800969928055,0.05280194160480639,0.13104667387671354,0.3305737401231743
ОШКМ,-0.2889835503569691,-0.14532094926280514,-0.5372839669695779,-0.43412965213755683,0.2554926806728061,0.2902936161817316,-0.09360109674984199,-0.17600253722890152,1.0,0.920259511389677,-0.4826836855624411,0.1610366464090487,-0.5936504225257749,-0.17475200105936733,-0.5228083682317578,-0.02743413383792656,0.478027579688034,0.2618052560009859,-0.05127008487103926,-0.32286537457913345,-0.1167717340735847,0.0061794848349535384,0.33528053303194705,0.21313108665921326,0.031959447148001766,-0.04006490968287498,-0.04827177876645853,0.318942090121426,0.2406414219955498,0.3651173272144101,0.12248706024679686,0.012828108801409159,0.4508960726831508,0.035631950941546066,-0.15314623234781016,0.21333704007349907,-0.12255127447998147,-0.08931396750640766,0.08468920519166766,-0.036691215276869596,-0.07752661107341613,-0.061589173139581226,0.008262283969886668,0.02746010582484645,0.13536508612119005,-0.3637721838682471,-0.16037095660829986
ШЭС,-0.23533871449027652,-0.11446007407539413,-0.5387361450655911,-0.4016891662057308,0.29868221428429736,0.4273434474262379,-0.052404851468942706,-0.08490695622875973,0.920259511389677,1.0,-0.22070482817402545,0.12913110434220987,-0.48653848261837673,-0.1197038809514548,-0.5385294933812764,-0.045946238145443255,0.4149926263158606,0.33035430723040393,-0.006259480262739856,-0.21690808758364555,-0.09676869563423136,0.07003331765565589,0.36343988574295094,0.24945665612196208,0.0004382214208548822,-0.08259415076343786,-0.11558730504556043,0.21261221697698104,0.20473616534696143,0.3109137079117673,0.12667866452389595,0.06286368094291833,0.45672009512691886,0.07809484006477108,-0.17733662956693513,0.2473046208356935,-0.11147743483003746,0.010716711207533678,0.11602708349368693,0.039872094015378313,-0.07378727934191821,-0.04522139542220868,0.07135519056728283,-0.03814332547852842,0.06910255040749012,-0.3787283963653774,-0.15301824907624098
