,Пол,Physical Aggression,Anger,Hostility,Всесилие,Неуязвимость,Уникальность,ГЧС,ПФ,ВСУ,ППВВ,ООО,ММО,ОЭ,СЧЗ,ДЗП,ОШКМ,ШЭС,ШЭМ,ШПС,ШКМ,ШНО,ШЛСМ,ШВ,ШСЖ,ШЛ,Директивный стиль,Аналитический стиль,Концептуальный стиль,Поведенческий стиль,Безопасность,Конформизм,Традиция,Самостьятельность,Риск-новизна,Гедонизм,Достижение,Власть-Богатство,Благожелательность,Универсализм,Неув.в прич.,Новизна,Сложность,Нерешенность,Общий ,Политика,Личный опыт,Воспитание,Спорт,СМИ,Общий,E',E,e,I',I,i,M',M,m,E||,I||,i||,OD,ED,NP,сложные,GCR,F1 (ОПС),F2 (ОПС),F1 (ША),F2 (ША)
Пол,1.0,-0.11242665419999828,0.1940733092719515,0.06739769390950541,-0.14377015148955669,-0.18948045049617251,-0.07734807328349164,-0.26284280624526035,-0.23688059369566608,-0.11138932853552203,0.16074878663993128,0.059851404505631714,-0.19221991404063735,0.09098532532013286,0.1084684151213543,-0.12469469206176297,-0.2775433745573725,-0.221484217196222,0.13857242191154118,-0.01509256115355321,0.12704843307898794,-0.00638978451064704,0.2333492252072167,-0.028656462773056782,-0.11566284511055192,-0.12059789350210115,0.06496511005773269,0.15303030303030324,0.0902281143476053,0.1913419913419913,-0.18084200316843835,-0.011696919021506923,-0.029518352591290743,0.15330507676504612,0.01824058086526684,0.04744557145911782,0.04233678486822402,0.06754518595721876,0.10315767381158489,0.07189162235703588,-0.1599190201002475,-0.0913808420657031,0.054119812745771864,0.012245106124322487,0.06346562832829673,0.09134200022239944,-0.07406182941342784,-0.12762764718131117,-0.2723118823700122,0.004481727052562308,-0.1932224837581412,0.08757807679052053,-0.08387456988737652,-0.031181939910808466,0.11724207635210993,0.09296222517045295,0.13983542664538515,-0.08705364749018946,0.0878412608970624,-0.18578005609063716,-0.09592574384482566,0.19782153997480817,-0.0008325531802523568,0.03464019627477772,0.04323440853837793,-0.07116912650562783,-0.12225456107973384,0.07135661151709648,0.07749908574692024,-0.06893544602919029,-0.04850405489250802,0.12341356525135687
Physical Aggression,-0.11242665419999828,1.0,0.3971333134062031,0.274013086502278,0.17160077369548082,0.19803705917181455,0.1340232866596827,0.1973787324517185,0.16236829727620047,0.04890163528466462,0.17010543907496795,0.25921836912285495,0.23515878190912365,0.23046058027388533,0.20359906338655853,0.3446932647442717,-0.2633045589669308,-0.15721761608738632,0.09100322927224855,0.06991807312058189,0.13299808780955102,0.07408315340157322,-0.0024471258902620694,-0.23144001657859448,-0.30651311486003985,-0.08162720842148234,0.035701638564303924,-0.0630965916428562,0.024907253374919055,0.06309659164285637,0.04167801389292025,0.01660580376704055,-0.10492125242080098,-0.1643174598549052,-0.2533876980937874,-0.09211242608055098,-0.21784319048292125,-0.279152551533814,-0.03142995083300098,-0.10206261761409734,-0.09838086479511245,0.15297440327356898,-0.08578582917917192,0.08940368760104969,0.0008460136973213833,0.37939119398842075,0.42808466794636507,0.3904305941174449,0.2152172293226671,0.18905976627292134,0.42850169952698464,-0.006135034268791449,0.1604408125284351,0.23738559860484212,-0.10575668128867327,-0.18478383228370449,-0.09560676392063626,-0.02425458977860194,-0.018511346443743512,0.04382652097480299,0.1007410984402533,-0.2893632430408513,-0.080834508764885,-0.1023536249973784,0.10564391081028335,0.08865113202724051,0.13067091538844774,-0.0031495097815216625,-0.12373644315876711,0.060624839896633656,0.1817099325525908,0.04971511875493738
Anger,0.1940733092719515,0.3971333134062031,1.0,0.4454606136047894,0.023187746139883697,-0.08743620323339711,0.17377712318173447,0.09607450034020625,0.1321238548812016,-0.05903150693544677,0.3731065096676467,0.2134733781147176,0.2386991551366971,0.19290777458257527,0.36569813978508187,0.15898874446797945,-0.5109437003745487,-0.48711462034055164,0.22191872763941597,0.08106169945215734,0.4431208156749623,-0.007026589739358775,0.2627178061332797,-0.13389252788038453,-0.2277041026956309,-0.44366302954377923,-0.027654010007886313,-0.07531004102929434,-0.014552301632127344,0.022088406471297624,-0.1766538351968921,0.014792027602485694,0.13503421733170348,0.032275804668226125,-0.07453973327152029,-0.028361246903764892,-0.20720727182529441,-0.2806009869377253,-0.08702120487388779,0.06572526559340418,0.033548015380018566,-0.05727807269758069,0.03870789423889474,0.018979875295308698,-0.006290984197260113,0.12795558473972224,0.09365924676059396,0.1628291314093809,-0.007409083420749719,0.11997074032222899,0.10998913741171501,0.11957758938937275,0.23321255211223402,-0.002898742519240172,0.011144872044926053,-0.1265432098765433,-0.04122670795617796,-0.20277733204161744,-0.018006495742967393,-0.1876419464163191,0.26232226011899096,-0.09586240389281792,-0.18652435086367802,-0.07513869360770682,0.16315092437061238,-0.17870913625277587,0.15715741548687617,0.026185956817530283,-0.0741066401700657,-0.12772898922515094,0.10603543743078618,0.0823659909930726
Hostility,0.06739769390950541,0.274013086502278,0.4454606136047894,1.0,0.038618675107818794,-0.02697858618369149,0.2324441676465539,0.1646746386067334,0.238512015933478,0.1291277890793531,0.23087421833240268,0.20634383762460975,0.3714584681409061,0.3414909052046623,0.4720053802686655,0.16546696518369006,-0.3031310547351153,-0.29449411673505277,0.29726338047054224,0.09947415358542575,0.3394084027662259,-0.02780544607762958,0.2628429314779853,-0.1511794306470663,-0.06136480035461103,-0.09930319979914722,-0.022291654876521957,-0.12160888248888997,-0.07634508360783337,-0.03139644126219196,-0.12775039492983714,-0.05089969005762009,0.06248085638254522,-0.0684219702488156,-0.042959088969032486,-0.22351970549689118,-0.1628955116152545,-0.29900623810878474,-0.07994028403766335,-0.009541953350060086,-0.08207993411810961,0.006075177886558612,0.015955616243109247,0.053285151868169324,0.053160186007038396,0.22813549671163433,0.22764470415332275,0.12370971895174647,0.09908749817618041,0.019502444830030434,0.18318446033813415,0.15094469427276222,0.2167120685214168,0.0461216555126825,-0.06821472977201612,-0.08281734540921726,-0.11177974326383608,-0.1681449157439176,0.019898813925934268,-0.19385090468771354,0.28817915348508794,-0.16165317222466616,-0.1557042823980363,-0.1211335325549918,0.227062662961987,-0.10582099245243973,0.06896001299002456,0.041554759857368916,0.05702140743525728,0.029791108644231686,0.23267237636042518,0.12572649973897018
Всесилие,-0.14377015148955669,0.17160077369548082,0.023187746139883697,0.038618675107818794,1.0,0.3554225337429041,0.08468569824045416,0.24312961030168292,-0.05149415082421761,0.18747852513813998,-0.021888530877464674,-0.002572100554864483,-0.06597861245817385,-0.11559565757064477,-0.19166449744371145,0.1911200305627543,0.16420665043046415,0.0364865639632619,-0.043233349733799706,0.032452727761552724,-0.12008054123978366,0.1400000000000002,-0.24534195326634992,-0.25177435519116287,-0.012359291378096616,-0.06550053691289208,-0.10218811268323001,-0.014976057446828953,-0.2298946102339314,-0.05248751562317165,0.15243861284722188,0.0077076441735477175,-0.03630856309227153,-0.10101984800704882,-0.0953810834266028,-0.10020543130080874,-0.11237655959197548,-0.1295696713959201,-0.02793509217520903,0.11239413579069892,0.14023391045640504,-0.10161296196843088,0.051608513481220156,-0.02459084239681886,0.034163188928701786,0.18708581536014396,0.31111775644152173,0.16979389879608445,0.004439727076166738,0.08775277766789295,0.2346742895177588,-0.015019948164816062,0.27176918480545825,-0.09965371713649467,-0.4017604930162113,-0.33700940204495455,-0.10849908581546835,0.11401096022012287,-0.11292278021511186,0.06784542819663776,0.04129919504498954,-0.176749434551868,-0.12242158931000335,-0.060007973907637596,0.15677365643422067,-0.14141840836445246,-0.012019924972994572,0.20760858618534758,-0.1847320472618631,-0.006431826236270569,-0.16392301226929343,-0.024151577587665438
Неуязвимость,-0.18948045049617251,0.19803705917181455,-0.08743620323339711,-0.02697858618369149,0.3554225337429041,1.0,0.13123955117994468,0.2443809229133841,0.059135719308148975,0.025097522816562513,-0.18431223928014392,-0.05615129556716897,0.037935753651918216,0.09479037732674749,-0.18596490587501158,0.2987004806919603,0.18650974886994848,0.26551163062123523,0.03580019658060264,-0.1432181123470053,-0.028306925853614967,0.09191962079557855,-0.37132717749030597,-0.13924373625225836,-0.08933860437930131,0.10724522417236602,0.1024989493024881,0.17291544178715126,-0.05768745438467743,0.17519883897761784,0.22861534569952272,0.07782250967981398,0.04592331339225731,-0.2060844748932649,-0.2381333239549853,-0.1557553931238571,-0.09264143901529959,-0.19793169273346203,-0.027104376951700055,0.1284288123034274,0.0430606305352447,-0.004381833918741248,-0.1616146405200314,0.08835499331112814,-0.2494617571406623,0.2215093816441228,0.24732713831002526,0.16474468056891062,0.18953886248647933,0.12034670041264468,0.1756163653711918,-0.10951485524314604,0.2888238400435185,0.058759487824652935,-0.06455171480441382,-0.29304092266671145,-0.06139590629089472,-0.011545658468869976,-0.2652757090595621,0.10499508891136844,0.2375189716217165,-0.17479811929053335,-0.23118053094425878,-0.12439742461986605,0.16891142140403054,-0.014718964961859083,-0.17649884276297428,0.16304958045257742,-0.19776567597806782,-0.24104166314367842,-0.07944678733953084,0.039757599148891605
Уникальность,-0.07734807328349164,0.1340232866596827,0.17377712318173447,0.2324441676465539,0.08468569824045416,0.13123955117994468,1.0,0.33193813273804845,0.07252257561438664,0.20157980296665406,0.0355220760354752,0.03065616664617577,0.2123714469133656,0.10667305475035693,0.13563607147239407,0.13374078950576404,-0.0925496749962454,0.05435917848782633,0.18101660488763255,0.08266188421942966,0.022677580413106926,-0.05018411747582454,-0.022845031121569225,-0.11753250958076811,-0.03744053704040224,0.009328014704435231,0.06789261186038967,-0.045367619906663235,-0.2435929231429532,-0.03229919543706243,-0.007493453846681673,0.15502271679864082,-0.010303616284648081,-0.28942982715065385,-0.3038454983711034,-0.24364153904479335,-0.07024749840063008,0.023577185611087736,-0.11445182461347762,-0.14945895990395583,0.01630349175258728,-0.2113813246827047,0.016414394327409054,0.0715555564872973,-0.06757110988194773,0.029700536941792765,0.1441184156613392,0.14667272238629464,0.06559366643571603,0.2784461270643492,0.08182768356936174,0.2889139399015885,0.1726312839889824,-0.3227013478293854,0.07034588271666341,-0.09145737246248525,-0.0306949191645641,-0.003000055501540153,-0.0983771187265012,-0.07461367559749053,0.09858651039965237,0.03999514800835723,-0.06775035867422596,0.26263060961878515,0.08444736366302757,-0.20756295199190258,-0.010620660356839446,0.1536732160616158,-0.3301333329035991,-0.18086776888800501,0.14891257895184865,0.03586874176927192
ГЧС,-0.26284280624526035,0.1973787324517185,0.09607450034020625,0.1646746386067334,0.24312961030168292,0.2443809229133841,0.33193813273804845,1.0,0.5009602182455893,0.5444578448600458,0.39795527668751657,0.12914915549628034,0.41780776723420215,0.04464797795791281,-0.005552175858304675,0.2868863700099667,0.06644379101746792,0.11274134948165254,0.115738332483799,0.21349303470885156,0.018290795520877225,0.17319935449584783,-0.18820694050505718,-0.23728025150025728,-0.008910880481964057,0.08929095424044867,0.08533926860139675,-0.010797533120403876,-0.14161289592691514,0.020272919328105356,-0.02032347417496755,0.029025957033354803,0.1576021165386499,-0.032681892712831215,-0.18210463272941388,-0.13437895313307152,-0.3089923645942618,-0.2949236752458932,-0.11293245711057602,0.12628774855938038,0.2554802753249643,-0.07326155940653105,0.028220334921297687,-0.041553895095501496,-0.07189153672677814,0.029614970881360128,0.06799362989316196,0.21244760684507366,0.24407492756024987,0.07821662093679232,0.18578237781582732,0.05804454884838654,0.2698632751904695,-0.21689820104014915,-0.2979147665135445,-0.1585566012466163,-0.026546493178464383,0.009243252709311171,-0.16394318930442567,-0.15065141852912403,0.18092077527621628,-0.18702407111738004,-0.10674731465332506,0.03227466910784127,0.15633900859431654,-0.13546000499920682,-0.0034705728296218962,0.10070859075657834,-0.22365920625988,0.13601246191122784,-0.2093010642256556,0.009303150775768527
ПФ,-0.23688059369566608,0.16236829727620047,0.1321238548812016,0.238512015933478,-0.05149415082421761,0.059135719308148975,0.07252257561438664,0.5009602182455893,1.0,0.3231060544618516,0.4475503816191672,0.08781587211662614,0.4053224692352365,0.1378112079974823,0.24416980500165694,0.0896435043944432,-0.0664095397025926,0.027889099943634192,0.16124225384350077,0.18804375158814604,0.05106377474683281,0.12149401210088863,-0.05144082843167693,-0.03784807375231721,-0.011336431004792806,-0.08540739357994928,-0.11188607934039378,-0.14499778608948627,-0.021965461614077666,-0.03314235110616839,0.11947627214582954,0.0007364329335810032,0.04625507012707938,0.04355783812133558,-0.1588522848395736,-0.09191238587192128,-0.4336890172030079,-0.3334050572821189,-0.17865044712236772,0.15194051264815414,0.25651266611050483,0.030492479754762377,0.09307909886141434,-0.052864906636781714,0.046823651683481335,-0.019926521115601444,-0.08126769554229835,0.12430087238842052,-0.07861788486548149,0.06385049368615214,0.083963757683832,0.1692297162421285,0.30453733238898434,-0.037268613557691295,-0.07509759642123694,-0.13184513720853336,-0.1289810655314249,-0.022375570957077515,-0.23658497332763417,-0.1042787652003789,0.33532137433104403,-0.217666127279843,-0.23453609600406886,-0.04109371415795775,0.10735926253603736,-0.0950381494455788,-0.03142333130354167,0.053271979050787,-0.19279633789339282,0.1050852975584138,-0.08971457896465375,-0.08051122694621511
ВСУ,-0.11138932853552203,0.04890163528466462,-0.05903150693544677,0.1291277890793531,0.18747852513813998,0.025097522816562513,0.20157980296665406,0.5444578448600458,0.3231060544618516,1.0,0.35267294178913106,0.226170318252182,0.2696209618449644,-0.06739985197250703,0.17846429568078026,0.0626438984294502,0.029926234000960734,0.12261178941945679,0.12148758393382482,0.27264056889496247,-0.12290503312366698,0.14945222051106444,-0.12238120184693198,-0.02326716395938362,0.13428988895293142,0.11086533843732792,0.03944453568815748,-0.05368160411350449,-0.14152364280892551,-0.06997780536224694,0.1345669410257488,0.02994833392241316,0.03849239324704142,-0.06891023436914051,-0.10097831295849198,-0.14681722627042362,-0.1492063843439332,-0.12381053573096569,0.0007822906268200272,0.07179354231200989,0.18250762273778795,-0.06513161393255416,0.11935392358200213,-0.09554861939019553,0.15934027175742974,-0.007085703779615593,-0.030750001784598385,0.10179474010339064,0.11749140573749525,0.005670962723967375,0.1076654591722537,0.06289470610739735,0.19009185774920395,0.003112854182593068,-0.36822468926452134,-0.10606060606060616,-0.05971288535667548,-0.024265561997558964,-0.1995838446784631,-0.12259104097619743,0.07615317221713429,-0.2607492956349915,-0.06838991665013004,-0.039521001183274236,0.1337657986868563,-0.08912988545991907,-0.09916172826175015,0.24406366179590552,-0.14027362820844594,0.09118373072195862,-0.17861545149336586,0.015188403564832672
