,Пол,Physical Aggression,Anger,Hostility,Всесилие,Неуязвимость,Уникальность,ОЭ,ОШКМ,ШЭС,ШЭМ,ШПС,ШКМ,ШНО,ШЛСМ,ШВ,ШСЖ,ШЛ,Директивный стиль,Аналитический стиль,Концептуальный стиль,Поведенческий стиль,Безопасность,Конформизм,Традиция,Самостьятельность,Риск-новизна,Гедонизм,Достижение,Власть-Богатство,Благожелательность,Универсализм,Неув.в прич.,Новизна,Сложность,Нерешенность,Общий ,Политика,Личный опыт,Воспитание,Спорт,СМИ,Общий,F1o,F2o,F1s,F2s
Пол,1.0,-0.15321108294034474,0.13981940330410572,0.09487347811796928,-0.23940303854493922,-0.16223609697055005,-0.03159755760809035,-0.016176433696819592,-0.26940195967989156,-0.20903359099034158,0.19582336904302444,-0.007027165662923979,0.146032285366737,0.059012259419597625,0.16428644788901758,-0.02620527154873982,-0.15967331099819038,-0.06060988388373997,-0.026703862025773493,0.17780245285859306,0.044296751527831205,0.0969730486675612,-0.19507516997601895,-0.04748250172811457,-0.0419514312930188,0.20705142241599864,-0.0007067997803391218,0.056170620906435244,0.05309759076431928,0.02057106688337697,0.07706112103659739,0.0648929184027793,-0.19302316320632734,-0.09189745149837139,0.05904299875391933,0.00544616892716974,-0.029910632105120433,0.08631686452561128,-0.14319418294329447,-0.13637224233386314,-0.2486059935168223,-0.031597707057462156,-0.17328392530426912,0.12311486574045863,-0.03310949552941826,0.04720451318216955,0.07832239068555627
Physical Aggression,-0.15321108294034474,1.0,0.39892187347688657,0.3028328844189379,0.2571557126931554,0.10744305083179002,0.12343013136099334,0.1571151266787475,-0.20676606376744702,-0.155392526756243,0.15581227349594295,-0.0013360370022526054,0.22940977072742844,0.07945379979189306,-0.012578383869358865,-0.2182332070744371,-0.1396249299144103,-0.14998229003136074,-0.2809013265619702,-0.11904062475977206,-0.1963593471878712,0.00940893337025157,0.011301138770735483,0.054182748387336124,-0.04987995368229665,-0.2142723312979458,-0.1520781541286111,-0.1719454105156198,-0.19614199429842755,-0.3133061085529614,-0.015567332123515208,-0.036418976530459515,-0.0706096162155418,0.16907060426214793,-0.007723558942301641,0.07666216389990034,0.09924660525379328,0.34426771411403556,0.5277608312147694,0.31385485180164774,0.2507175140076032,0.16373162714111372,0.4718248704139572,-0.19825654110763458,0.04234615195285941,0.17798783106086022,0.2330653049147838
Anger,0.13981940330410572,0.39892187347688657,1.0,0.5323544171903607,0.032688686753808885,-0.12678404286562645,0.1363260167368298,0.15209917377779006,-0.5242350063673717,-0.5119906698265253,0.27014013051455965,0.03146876368262779,0.4589584984034415,0.028443985861295696,0.2696908698043061,-0.1329146441842725,-0.3283001116721471,-0.49032374816072755,-0.3204168196037468,0.010255220265647827,-0.03810283089390961,-0.04657231941074422,-0.2380332777422491,-0.021767456432395305,0.15774605090091653,0.016617662063594836,-0.018865201882278342,-0.15776063020948372,-0.20267321442029926,-0.35852105255976563,-0.000457456626493667,0.032270605618225756,-0.08029808926075675,0.006724947298545275,0.0632289577652258,-0.010655814140108424,0.11590063838219071,0.09818990478541316,0.1735852364555485,0.1011466051973966,0.15547877106068714,0.08083051734917143,0.18700607485644827,-0.07512892006538749,-0.148816565496653,0.14744474551997286,0.11433790269074703
Hostility,0.09487347811796928,0.3028328844189379,0.5323544171903607,1.0,0.061435093403604445,-0.10619693238858052,0.2854702619286111,0.32448884289208635,-0.45360447146269195,-0.410365649742003,0.25635974733520717,0.10889081573615625,0.4680063777472465,0.1761201201197712,0.3442856034186031,-0.10130176173331733,-0.193322222053167,-0.170195964213514,-0.2499076173698724,-0.047132399976333755,0.016604967034577842,-0.11622695902346142,-0.14591243103255286,0.007180989997328334,0.18069455664385403,-0.002509696595466737,0.02756552830476275,-0.21304512209168805,-0.1737469859343,-0.2877290601262704,0.04281508154234121,0.05882980716497774,-0.1459060007966406,-0.05256206262907461,0.05361235284076556,-0.0335690919094847,0.11667615777798006,0.2230640494155089,0.13283717886951804,0.05822864191955732,0.13262841184758212,0.008714919790198884,0.19753804862489244,0.014726535980573942,0.049130564254536914,0.28420149367625247,0.2886640644575735
Всесилие,-0.23940303854493922,0.2571557126931554,0.032688686753808885,0.061435093403604445,1.0,0.4322892817889874,0.11204483245668147,0.0862762091919102,0.2298610007330076,0.3104997026668664,0.0380906474290894,0.19857080496918547,0.04816371693223096,0.1483355107973575,-0.28704589915765627,-0.1576673396059761,0.009905839411362777,0.0963449654833097,-0.2043779626796512,-0.254187762069227,-0.17501783925605022,0.10979233066608454,0.11584943238154898,-0.0023530788799978426,0.011177029552979034,-0.27082792909764514,-0.13840344676731708,-0.15443868500565677,-0.22160169206326605,-0.20587632260321304,-0.07276454139857319,0.11021267195613385,0.32259620760512214,-0.04600289045097463,0.02434434177137169,-0.02267309145096024,0.014591845169522867,0.1772788015681153,0.29734176583578004,0.22043336346757464,-0.01431485328491588,0.038593770420638024,0.21261079523689402,-0.14998894865265602,0.036517998705305595,-0.21502701583558578,-0.03778940098905115
Неуязвимость,-0.16223609697055005,0.10744305083179002,-0.12678404286562645,-0.10619693238858052,0.4322892817889874,1.0,0.12044072155067448,0.1118867676806263,0.28579683028143593,0.44095176670497277,0.023677122075078858,-0.12036438371391935,-0.0414457308930206,0.000932438485012692,-0.40695874389221487,-0.2187037513003407,0.008004369535647555,0.17769950264219744,0.11160352660979017,0.12296935811282123,-0.02263437368876122,0.3455386103534103,0.38786053245465596,0.2152835114487289,0.07512547441140638,-0.24253612175965283,-0.20827464533913229,-0.11453882312098591,-0.0004674451254961148,-0.17903617255428292,0.04362625069786251,0.10635209927369532,0.11750576657276174,0.018761745293212454,-0.1803251620441501,0.1469865418724147,-0.22775812125961428,0.1093691244484428,0.2771065388981627,0.1969481766705349,0.25816575886006554,0.11802858613285283,0.21576629252235288,-0.27871666551420643,-0.20413865676904894,-0.17489833323310192,-0.04897042923747196
Уникальность,-0.03159755760809035,0.12343013136099334,0.1363260167368298,0.2854702619286111,0.11204483245668147,0.12044072155067448,1.0,0.023389157105837895,-0.00032607320691036907,0.023057708112342562,0.14954898323358704,0.015066533045520048,0.12366697506880209,0.0032509941781222753,0.0016623036589144624,-0.2442749006573542,-0.04061961430439981,0.056862481343055396,0.013083532433852636,0.0018035936612146456,-0.20599050009177863,-0.03519717778557691,-0.033031808715062276,0.17806385146838005,0.04718627256202115,-0.3100728108476266,-0.2843187037965704,-0.2946182594588062,-0.020300825614619253,-0.0680927158613421,-0.008519530519723269,-0.07740263950209715,-0.11311156888304953,-0.17141466035460584,0.008992344793333527,0.0413229448362604,-0.02579918697286241,0.0030347440640869083,0.16813319213658745,0.15241518387248051,0.13595001674634402,0.2259361387170717,0.15947514045106995,-0.2456123236419292,-0.1782046244689892,0.06140784907126629,0.04152479013095568
ОЭ,-0.016176433696819592,0.1571151266787475,0.15209917377779006,0.32448884289208635,0.0862762091919102,0.1118867676806263,0.023389157105837895,1.0,-0.22939833646706717,-0.15443792322924807,0.20101004437659245,0.11803281528394445,0.6384656740509688,0.22885881597078692,0.14029139525184067,-0.004367607261351271,-0.35125220337497665,0.10171060289497541,-0.011692139662621335,0.13996817857509955,0.2175061996893482,0.22872187918629722,0.04452488069465953,0.16225253484193664,0.1426456562566247,0.05930924717227678,-0.026390401889249182,-0.04137630269144268,-0.07044612755721535,-0.28432444070067275,0.06838762997178771,0.31845800978588945,-0.2332016834558615,0.14583250362161224,-0.12954553519764886,0.09703378364635526,-0.07899446924316988,0.30840547055340634,0.1933776616282395,0.22765908185185565,0.21158287864064895,-0.015359126186939067,0.2860810145765862,0.004884254273896922,0.07228318040403925,0.10657155032375373,0.3298908151351819
ОШКМ,-0.26940195967989156,-0.20676606376744702,-0.5242350063673717,-0.45360447146269195,0.2298610007330076,0.28579683028143593,-0.00032607320691036907,-0.22939833646706717,1.0,0.8962676677129506,-0.4849384257037962,0.22456094082280445,-0.5483803829492497,-0.10958823664197542,-0.4478071162340653,0.017989283233315473,0.4108053861925249,0.3073868190185199,0.057728313218188755,-0.3265024278281877,-0.012824063021064374,0.09902684058835591,0.29825905458000807,0.13695964893263277,-0.022185193537838755,-0.07636505282188677,-0.054803917762718375,0.2171894044012565,0.19622600222681938,0.2908330357010424,0.09155541982379845,0.019254926335031997,0.41182588572226414,0.009370812679140118,-0.11175859877266558,0.2069564575847665,-0.10919406584049682,-0.14116497423817753,0.037174041300390995,-0.07512764462166979,-0.06160818937391431,0.007017695688521381,-0.05600253077101031,0.024971095527737127,0.052223290287326085,-0.33769768188713095,-0.18437302177063272
ШЭС,-0.20903359099034158,-0.155392526756243,-0.5119906698265253,-0.410365649742003,0.3104997026668664,0.44095176670497277,0.023057708112342562,-0.15443792322924807,0.8962676677129506,1.0,-0.22472386452327953,0.16068836881437015,-0.45305918564376707,-0.08880810220567639,-0.517087306523191,-0.005771469408824921,0.36871269920419325,0.3101402562989985,0.07621316531930787,-0.19299665320461282,-0.04036329256333284,0.14997517580381534,0.3322882350895799,0.20109307161105658,-0.03821020708724881,-0.14555795569939403,-0.12842443194290795,0.09423570489133196,0.11288699392970615,0.23816128226124442,0.07076066673935341,0.02253405326079084,0.4154627408519836,0.02950578741716495,-0.1253831769963899,0.23893760299462544,-0.10458343616291958,-0.055481317181764356,0.047446093897982086,-0.000695339500021426,-0.0912458605277834,0.004191041768424782,-0.01871801669167391,-0.10569116429944655,-0.05349006157759297,-0.36660748325988823,-0.17585424062451332
