,Physical Aggression,Anger,Hostility,Всесилие,Неуязвимость,Уникальность,ГЧС,ПФ,ВСУ,ППВВ,ООО,ММО,ОЭ,СЧЗ,ДЗП,ОШКМ,ШЭС,ШЭМ,ШПС,ШКМ,ШНО,ШЛСМ,ШВ,ШСЖ,ШЛ,Директивный стиль,Аналитический стиль,Концептуальный стиль,Поведенческий стиль,Безопасность,Конформизм,Традиция,Самостьятельность,Риск-новизна,Гедонизм,Достижение,Власть-Богатство,Благожелательность,Универсализм,Неув.в прич.,Новизна,Сложность,Нерешенность,Общий ,Политика,Личный опыт,Воспитание,Спорт,СМИ,Общий,E',E,e,I',I,i,M',M,m,E||,I||,i||,OD,ED,NP,сложные,GCR,F1 (ОПС),F2 (ОПС),F1 (ША),F2 (ША)
Physical Aggression,1.0,0.39118482027011103,0.281157273736756,0.16391537972147524,0.20748595679977613,0.1281882907752922,0.17326394784846177,0.15742066325233467,0.03506919123752249,0.16202916839851456,0.2652882098446658,0.2381111659981229,0.23505014483057718,0.19499558754354204,0.35579476050306835,-0.2757006522101126,-0.16370615835391028,0.09254264523142332,0.07281713192298236,0.12749356285292188,0.07860852387858658,5.1652156176899815e-05,-0.24164619470688073,-0.30152936388381785,-0.09095938706537006,0.0031386594535692154,-0.076425168296733,0.013055901441573214,0.04794348212145966,0.0375110051296739,0.04645077676535884,-0.068240055576562,-0.16957830614670744,-0.2515849630447876,-0.07746256184086257,-0.21321399062530666,-0.28316222979550854,-0.0259868034878907,-0.09877280482200156,-0.10555964258245495,0.16436331437908488,-0.09090915737007634,0.0869805600414751,-0.004611677606445647,0.3825616444450545,0.41928287950296955,0.3647152609704126,0.22107302450538371,0.18648302059462493,0.4208777902732404,0.003701837209107778,0.15171621320240536,0.22161885831772718,-0.10061369142679671,-0.18628547768193404,-0.10956684580569505,-0.023726619697398265,0.024310319035951624,-0.002858809476632046,0.10281963376020921,-0.27888172743486045,-0.06547786988110876,-0.08407546699395696,0.10882204466863259,0.07668813949906336,0.15625363028306785,-0.00017105788696027927,-0.12517171168343005,0.04582733170792904,0.19110589450874155,0.09057245292640703
Anger,0.39118482027011103,1.0,0.4641924337191735,0.005728422318418746,-0.0800242045689701,0.17918445602912758,0.08689983619660004,0.12714971172997142,-0.04931008566653541,0.38090931883099377,0.19509939929222,0.23770319668250064,0.19335796338113906,0.3639288029856689,0.16530546285134634,-0.5083516223289412,-0.4808819652503539,0.23500359728560635,0.06521010777657642,0.4331669691470054,-0.02714353697714874,0.2563424891759244,-0.14427607582499957,-0.22182239778322918,-0.4571154549193406,-0.06983736678649613,-0.0903144742588453,-0.03224849075417148,0.0015454451533829904,-0.19500776771530898,0.02897779159620251,0.13503723390849087,0.022976027824510394,-0.07593321870373339,-0.01749956816049617,-0.1945352830477851,-0.27758975659771795,-0.09874839346211722,0.06891282216049552,0.031675209390750275,-0.025450708389415024,0.03758108117574137,0.01603885569438315,-0.00522595039414181,0.12891067335629872,0.1026141679982838,0.15759293828183416,-0.001952319529001568,0.11365783496211716,0.1184107259886863,0.11999085305202055,0.23158034917996276,-0.0029676910250530744,0.010779392107807845,-0.13099185940755226,-0.04815149568675287,-0.19803474262912008,0.022474290236303734,-0.21142388211262025,0.2580939409489854,-0.08295853109908517,-0.16800600959751244,-0.05667814911773838,0.16536060511472794,-0.18345726653345584,0.14872140247978957,0.024147767041937634,-0.08350510197530477,-0.11770800111962354,0.10379508676511587,0.12312831419251115
Hostility,0.281157273736756,0.4641924337191735,1.0,0.03694520467234432,-0.0438361584327573,0.22156326857876302,0.1517354058619872,0.23086544191500274,0.11778646245785483,0.23105694702105292,0.20123485402879082,0.3688066522680793,0.35632488624132413,0.47373065235467926,0.16274413058234344,-0.3140580166811077,-0.3024036632641602,0.3093648355335168,0.11756081113948062,0.34412452625575446,-0.024052738741807553,0.27767428071457134,-0.1621443817000455,-0.052520119581710434,-0.11073577385149816,-0.007092495444203404,-0.12178922209605052,-0.06621300984369133,-0.010426192260153976,-0.10161805492656295,-0.03980949753616811,0.07195585758915746,-0.049307581614378315,-0.046547482496547214,-0.19984406149393857,-0.14820791785927878,-0.2921274103663498,-0.05659442435758033,-0.00475055832702427,-0.09272704403170728,-0.002935256230612931,0.009287116625485802,0.04450038213158249,0.04935533693916787,0.23527874210857472,0.2122147547427984,0.1107084257059385,0.09299298128125477,0.009609469802601857,0.17831699950590182,0.1394594694548281,0.17618921375264746,0.044361856930039044,-0.04013314369851894,-0.09707562352396083,-0.12798929588975413,-0.1643268701117096,-0.005809579423409128,-0.2028725603757163,0.2710900887295054,-0.15923168771981547,-0.1616860252230641,-0.13824722999649353,0.20737390529604124,-0.12320155976228961,0.09666675765298018,0.05152554693305601,0.056992558447718444,0.02226007032813185,0.23353333045952657,0.14153987224128553
Всесилие,0.16391537972147524,0.005728422318418746,0.03694520467234432,1.0,0.3564636963698258,0.06541362998106193,0.2642687092155491,-0.02581609158213238,0.19982248831617885,-0.008592182429910927,0.015259388240712931,-0.07056614448781684,-0.09529168727655342,-0.19409738282178945,0.17928154094598667,0.17338865411734367,0.037948546294932266,-0.023851371747795155,0.0579701370588131,-0.10875479102856285,0.17436297099484954,-0.26276154020291154,-0.2504132588041784,-0.006634050763685935,-0.06326004879999081,-0.0791319635184539,-0.014179408819760427,-0.22222633673317696,-0.02029196832860629,0.13447779930089965,-0.03477565675240773,-0.0034491493475485822,-0.11009110065040029,-0.10022313582716018,-0.14012770309739006,-0.12749688171946805,-0.14619975477306857,-0.04088900942203876,0.11809290620784486,0.1750257663138097,-0.06255415412365962,0.031853007028637054,-0.034159523445211004,0.0009238230960895229,0.19122099877346624,0.30614401409323383,0.1836122643188153,-0.019106606515335207,0.08507492557256513,0.21903552150643876,-0.03006221423242396,0.2583303216576955,-0.0847284477794426,-0.4145385756764817,-0.33712437103830983,-0.10099612096618588,0.11702698742483225,-0.16806067730367363,0.05011974676143543,0.017712432471196818,-0.21263021437000482,-0.07148333806497617,-0.08754314809706872,0.1232549887269185,-0.12473174907988621,-0.03424803930731844,0.21933876897691584,-0.16851489756167937,0.011827481306906005,-0.19108404812698865,-0.007458406015230493
Неуязвимость,0.20748595679977613,-0.0800242045689701,-0.0438361584327573,0.3564636963698258,1.0,0.12795440982312037,0.24457114480425787,0.05833859467479559,0.022750781589262335,-0.1957945384193906,-0.049743755828245445,0.028230498268262696,0.08872834445684755,-0.17164460539225868,0.2912848760064583,0.18577098277480378,0.265794107931858,0.0420190235923579,-0.1480444451648236,-0.014950327496424234,0.10429502701236154,-0.36964080552975154,-0.14530904193854194,-0.08225631903900768,0.10595178756744758,0.1585423260366789,0.1841959994571564,-0.06471245610559274,0.2220369570751289,0.2698741207575865,0.07237306867511163,0.03949247385768143,-0.22468328130885618,-0.255343671907567,-0.16361076146152956,-0.08612254512213535,-0.19367319441817685,-0.034385556083912035,0.11411237968955797,0.03740215441724024,0.031303197825828584,-0.1520373663428208,0.07500562147665372,-0.240468998766567,0.24569146262930353,0.25921509603878723,0.16358197419239237,0.1743421769776603,0.12753584865588047,0.18705414814274224,-0.12046467760951905,0.24045877674386212,0.06280384250204221,-0.10809350367940339,-0.30151528587128273,-0.08916875817358128,-0.006233946148228189,-0.23014506075333868,0.12153681848055821,0.22277635579537142,-0.17323916186530294,-0.21171388511504763,-0.12568249061000802,0.15050100090967444,-0.03348857823779863,-0.15399974964298876,0.18818208253668928,-0.20569194725104847,-0.23330745242696932,-0.08057744463123571,0.00857890004076875
Уникальность,0.1281882907752922,0.17918445602912758,0.22156326857876302,0.06541362998106193,0.12795440982312037,1.0,0.338462573028135,0.07398749127840429,0.21314686524040208,0.03585865768172218,0.03741742416604488,0.21433293390054498,0.10882759051897932,0.1371631085201229,0.13693068515019444,-0.08424793836709296,0.054257531806980196,0.17554094429531755,0.08980243020971787,0.009041911787492255,-0.04956561203448645,-0.034883511907065255,-0.11424472400324619,-0.04107005534936837,-0.00035051859030965675,0.09311599932064196,-0.05077907345016276,-0.2600403420471806,-0.03643154963317402,-0.012605499723497633,0.15780674321092072,-0.007924361695066152,-0.2991193964280172,-0.30737688851173073,-0.2439416172494202,-0.06450582991463956,0.021471748342665443,-0.10578419586375613,-0.1273479301043927,0.022253905663602334,-0.16347933326316472,0.02497770842178211,0.04341151561268609,-0.0608211358089448,0.027207492650032597,0.15034506293785307,0.1593782014246357,0.06286403404164222,0.277712808159041,0.09117667400659993,0.31444590050966803,0.16266349884911033,-0.3186700109483815,0.023089309458888253,-0.09130640545441535,-0.014017436085855766,-0.009807822288309526,-0.11818181676913718,-0.06558805457772379,0.10959923207188979,0.049215223766641454,-0.07242199342402,0.2536271087796958,0.07653100004078224,-0.2039759230290259,0.010909972321499886,0.15888453048754597,-0.3227787901885145,-0.1813284360214534,0.14419138464410164,0.0679856157115252
ГЧС,0.17326394784846177,0.08689983619660004,0.1517354058619872,0.2642687092155491,0.24457114480425787,0.338462573028135,1.0,0.49881365381236653,0.5341436286185999,0.38435290360767094,0.13356658764722182,0.4211038545864448,0.050777979665245,-0.010252884354299309,0.299332199081236,0.09289697460062998,0.1225158846347265,0.10167319230161027,0.22383600286735664,0.005024202684475397,0.17721371337867384,-0.19055770522036083,-0.21550794530540035,0.009649763289234012,0.08617269308612528,0.04072014949820835,-0.03675470230790868,-0.18355672856169944,-0.013870686604021886,-0.03842483630997322,0.03217863888848292,0.13295353038331897,-0.03577385992606339,-0.1757090634654373,-0.15997614473874014,-0.31736148806313785,-0.2945393493323981,-0.1256102529540291,0.15069310437476405,0.2682513378411336,-0.07121303836175945,0.03795210423974256,-0.05242214073494855,-0.07475177308169786,0.023943794189765163,0.06618340013732663,0.21644582455279088,0.25393343451148703,0.0919145030018058,0.2101562858483357,0.04527997662389812,0.23865291631484264,-0.23279348618949647,-0.23036742097972654,-0.16251055472975792,-0.057969704038342625,-0.005812870018161498,-0.1889338715276581,-0.1974275073466571,0.169996518661836,-0.18077338315522057,-0.12262270260132674,-0.0004643584536794138,0.15239333603525854,-0.16051501694193254,0.034866692910423894,0.11224676120705064,-0.21604114096377305,0.12759195402372067,-0.2128498911553526,0.010314204441986505
ПФ,0.15742066325233467,0.12714971172997142,0.23086544191500274,-0.02581609158213238,0.05833859467479559,0.07398749127840429,0.49881365381236653,1.0,0.32514070894071684,0.44830671084044454,0.09694769664819246,0.40701341064626834,0.13506816607460587,0.2491559461618533,0.09233490356342437,-0.0654566672184511,0.030325668245505318,0.1573037876300224,0.17591906999487317,0.05963518153129137,0.10489757778914804,-0.051082200221061365,-0.03994083901730667,-0.010536522350281562,-0.07813789896894782,-0.14283327615711608,-0.15012781881429102,-0.019811918517399364,-0.036819599614420835,0.13070954754791375,0.030803632455681303,0.04454877137699184,0.04314855104872504,-0.15857946262231193,-0.09796651955622743,-0.4414791936903441,-0.33993966343761994,-0.18080238754589512,0.16222215479584992,0.25157188762898874,0.014170079214877547,0.09060706005009099,-0.0747738239115389,0.048053459691624806,-0.02577584287737514,-0.08695832210529755,0.10495403687603877,-0.07864875983336349,0.06936630734220534,0.07963132714701238,0.15133904201154005,0.268270731747833,-0.046833633337703795,-0.04732254907302583,-0.12118209096178154,-0.1366629463709061,-0.019092314530421643,-0.25560350769431284,-0.1448796103415781,0.32349335640258,-0.21931789583272351,-0.2650165627562343,-0.046784252992938785,0.08504223074159202,-0.11121765189963721,-0.02153728506977335,0.05602088122368461,-0.19115849886023698,0.09587882440142405,-0.08846449257370148,-0.08280872849265143
ВСУ,0.03506919123752249,-0.04931008566653541,0.11778646245785483,0.19982248831617885,0.022750781589262335,0.21314686524040208,0.5341436286185999,0.32514070894071684,1.0,0.3386130369525041,0.2157728739829774,0.2602050208297913,-0.090966710405753,0.17795748473624842,0.06998436859352299,0.03490242100240279,0.12324142299899014,0.10440032860450085,0.2569166900666275,-0.13115842990079388,0.14254089588158586,-0.11776721851764639,-0.0011449238864139589,0.1554376725741665,0.10708085842520183,0.034389724090579846,-0.05558990788982208,-0.15506266253197823,-0.08783169384808157,0.12360110512354217,0.010390031880613193,0.046218050209373564,-0.0495786059091129,-0.07280870587974933,-0.16878037641408486,-0.15071310141474195,-0.12365200204917959,0.025650840703423064,0.0976497364859861,0.18574016487559872,-0.07304427729667051,0.1246867207775178,-0.1012625389495099,0.1507667620139705,-0.017332227091941512,-0.04447226318643811,0.12363182222372511,0.09520467618130728,0.03229725909699204,0.12170202957749877,0.062120401796491455,0.18674499682943654,-0.015274272390973825,-0.27511231366610794,-0.08389529872648602,-0.09011866269698185,-0.05094396617222483,-0.17604156559437426,-0.1547556907470446,0.07238073483224258,-0.2512149043063452,-0.08417330824102161,-0.02991940080886789,0.14546608106418404,-0.1168552504559373,-0.06743586064860772,0.2475481983454008,-0.1301836923765019,0.08437235067889325,-0.16763043372397696,0.01962931728661915
ППВВ,0.16202916839851456,0.38090931883099377,0.23105694702105292,-0.008592182429910927,-0.1957945384193906,0.03585865768172218,0.38435290360767094,0.44830671084044454,0.3386130369525041,1.0,0.3582321179311752,0.27618800903569035,0.1208659033746666,0.32348338407128435,0.10327248563428885,-0.34402134802713996,-0.32954196299661875,0.12739619204296823,0.11522868292252698,0.10914173271282014,-0.02735064008826099,0.0630560508980532,-0.013209351458035928,0.009240850121077986,-0.20323071114069666,-0.12579596270127225,-0.1519058852796362,-0.010589303625577536,-0.0891246629873181,-0.10034782778308601,-0.07879607998479125,0.14577888228685448,0.14402604851221013,0.015055022245123935,-0.10253355400850934,-0.34148747938860907,-0.43114790031051053,0.04584675998310056,0.11704690818699366,0.10396909597599849,-0.15546071473092865,0.18835907643822922,-0.14049861734642408,0.09254452939988653,0.03727606895852868,-0.010253473054638855,0.18531954043403426,-0.042881876583899387,0.016868617979996777,0.05861973371982046,0.20481030987106114,0.04471983655583532,-0.04847046445547445,0.025593778895698187,0.00046869265896079965,-0.015082132401802065,-0.24761876342786268,-0.0060456508590028425,-0.12396255655640567,0.15433715072143087,-0.005243675622467917,-0.18552645032400356,-0.062222754931866055,0.03544829661971177,-0.04168719797737741,0.12563892709364283,-0.06467123134882577,0.062326293119208634,0.17273984689888972,0.02233470936035342,-0.04241996354479018
